file,classes_id,classes,n_classes
2008_006169,[1],['aeroplane'],1
2008_006200,[1],['aeroplane'],1
2008_006213,[1],['aeroplane'],1
2008_006249,[1],['aeroplane'],1
2008_006265,"[1, 15]","['aeroplane', 'person']",2
2008_006269,[1],['aeroplane'],1
2008_006353,[1],['aeroplane'],1
2008_006364,[1],['aeroplane'],1
2008_006394,[1],['aeroplane'],1
2008_006401,[1],['aeroplane'],1
2008_006463,[1],['aeroplane'],1
2008_006540,[1],['aeroplane'],1
2008_006548,[1],['aeroplane'],1
2008_006564,[1],['aeroplane'],1
2008_006604,[1],['aeroplane'],1
2008_006619,[1],['aeroplane'],1
2008_006621,[1],['aeroplane'],1
2008_006623,[1],['aeroplane'],1
2008_006631,"[1, 15]","['aeroplane', 'person']",2
2008_006637,[1],['aeroplane'],1
2008_006671,[1],['aeroplane'],1
2008_006677,[1],['aeroplane'],1
2008_006700,[1],['aeroplane'],1
2008_006703,[1],['aeroplane'],1
2008_006761,[1],['aeroplane'],1
2008_006777,[1],['aeroplane'],1
2008_006778,[1],['aeroplane'],1
2008_006832,[1],['aeroplane'],1
2008_006896,[1],['aeroplane'],1
2008_006920,[1],['aeroplane'],1
2008_006933,"[1, 15]","['aeroplane', 'person']",2
2008_006951,[1],['aeroplane'],1
2008_006980,[1],['aeroplane'],1
2008_007095,[1],['aeroplane'],1
2008_007096,[1],['aeroplane'],1
2008_007145,[1],['aeroplane'],1
2008_007161,[1],['aeroplane'],1
2008_007195,"[1, 7, 15]","['aeroplane', 'car', 'person']",3
2008_007211,[1],['aeroplane'],1
2008_007229,[1],['aeroplane'],1
2008_007343,[1],['aeroplane'],1
2008_007350,[1],['aeroplane'],1
2008_007357,[1],['aeroplane'],1
2008_007374,[1],['aeroplane'],1
2008_007397,[1],['aeroplane'],1
2008_007409,"[1, 7, 14, 15]","['aeroplane', 'car', 'motorbike', 'person']",4
2008_007442,[1],['aeroplane'],1
2008_007458,[1],['aeroplane'],1
2008_007480,"[1, 7]","['aeroplane', 'car']",2
2008_007504,[1],['aeroplane'],1
2008_007507,[1],['aeroplane'],1
2008_007533,[1],['aeroplane'],1
2008_007579,[1],['aeroplane'],1
2008_007604,[1],['aeroplane'],1
2008_007618,[1],['aeroplane'],1
2008_007629,[1],['aeroplane'],1
2008_007690,[1],['aeroplane'],1
2008_007738,[1],['aeroplane'],1
2008_007758,[1],['aeroplane'],1
2008_007764,[1],['aeroplane'],1
2008_007836,[1],['aeroplane'],1
2008_007879,[1],['aeroplane'],1
2008_007883,"[1, 4]","['aeroplane', 'boat']",2
2008_007884,"[1, 4]","['aeroplane', 'boat']",2
2008_007970,"[1, 15]","['aeroplane', 'person']",2
2008_008004,[1],['aeroplane'],1
2008_008025,[1],['aeroplane'],1
2008_008028,[1],['aeroplane'],1
2008_008043,"[1, 6, 7]","['aeroplane', 'bus', 'car']",3
2008_008044,[1],['aeroplane'],1
2008_008048,[1],['aeroplane'],1
2008_008050,[1],['aeroplane'],1
2008_008053,[1],['aeroplane'],1
2008_008086,[1],['aeroplane'],1
2008_008096,"[1, 16]","['aeroplane', 'pottedplant']",2
2008_008130,[1],['aeroplane'],1
2008_008146,[1],['aeroplane'],1
2008_008150,[1],['aeroplane'],1
2008_008179,[1],['aeroplane'],1
2008_008180,[1],['aeroplane'],1
2008_008191,[1],['aeroplane'],1
2008_008215,[1],['aeroplane'],1
2008_008231,"[1, 15]","['aeroplane', 'person']",2
2008_008247,[1],['aeroplane'],1
2008_008254,[1],['aeroplane'],1
2008_008263,[1],['aeroplane'],1
2008_008278,[1],['aeroplane'],1
2008_008294,[1],['aeroplane'],1
2008_008300,[1],['aeroplane'],1
2008_008344,[1],['aeroplane'],1
2008_008345,[1],['aeroplane'],1
2008_008359,[1],['aeroplane'],1
2008_008373,[1],['aeroplane'],1
2008_008411,[1],['aeroplane'],1
2008_008424,[1],['aeroplane'],1
2008_008432,"[1, 7]","['aeroplane', 'car']",2
2008_008446,[1],['aeroplane'],1
2008_008464,[1],['aeroplane'],1
2008_008467,[1],['aeroplane'],1
2008_008471,[1],['aeroplane'],1
2008_008479,"[1, 15]","['aeroplane', 'person']",2
2008_008496,[1],['aeroplane'],1
2008_008501,"[1, 7]","['aeroplane', 'car']",2
2008_008507,[1],['aeroplane'],1
2008_008508,[1],['aeroplane'],1
2008_008519,"[1, 15]","['aeroplane', 'person']",2
2008_008546,[1],['aeroplane'],1
2008_008570,[1],['aeroplane'],1
2008_008607,[1],['aeroplane'],1
2008_008765,[1],['aeroplane'],1
2009_000032,[1],['aeroplane'],1
2009_000052,[1],['aeroplane'],1
2009_000084,[1],['aeroplane'],1
2009_000122,[1],['aeroplane'],1
2009_000133,[1],['aeroplane'],1
2009_000159,[1],['aeroplane'],1
2009_000205,[1],['aeroplane'],1
2009_000225,"[1, 7]","['aeroplane', 'car']",2
2009_000260,[1],['aeroplane'],1
2009_000320,[1],['aeroplane'],1
2009_000327,[1],['aeroplane'],1
2009_000367,[1],['aeroplane'],1
2009_000387,[1],['aeroplane'],1
2009_000397,"[1, 7, 15]","['aeroplane', 'car', 'person']",3
2009_000417,[1],['aeroplane'],1
2009_000440,[1],['aeroplane'],1
2009_000500,[1],['aeroplane'],1
2009_000513,[1],['aeroplane'],1
2009_000545,[1],['aeroplane'],1
2009_000560,[1],['aeroplane'],1
2009_000625,[1],['aeroplane'],1
2009_000661,"[1, 15]","['aeroplane', 'person']",2
2009_000662,[1],['aeroplane'],1
2009_000695,[1],['aeroplane'],1
2009_000734,[1],['aeroplane'],1
2009_000796,[1],['aeroplane'],1
2009_000801,[1],['aeroplane'],1
2009_000817,[1],['aeroplane'],1
2009_000887,[1],['aeroplane'],1
2009_000909,[1],['aeroplane'],1
2009_000967,"[1, 7]","['aeroplane', 'car']",2
2009_001027,[1],['aeroplane'],1
2009_001056,[1],['aeroplane'],1
2009_001090,[1],['aeroplane'],1
2009_001129,[1],['aeroplane'],1
2009_001195,[1],['aeroplane'],1
2009_001199,"[1, 15]","['aeroplane', 'person']",2
2009_001312,[1],['aeroplane'],1
2009_001316,[1],['aeroplane'],1
2009_001321,"[1, 7]","['aeroplane', 'car']",2
2009_001332,[1],['aeroplane'],1
2009_001344,[1],['aeroplane'],1
2009_001345,"[1, 15]","['aeroplane', 'person']",2
2009_001372,[1],['aeroplane'],1
2009_001387,[1],['aeroplane'],1
2009_001390,[1],['aeroplane'],1
2009_001435,[1],['aeroplane'],1
2009_001501,[1],['aeroplane'],1
2009_001509,"[1, 15]","['aeroplane', 'person']",2
2009_001517,[1],['aeroplane'],1
2009_001541,[1],['aeroplane'],1
2009_001549,[1],['aeroplane'],1
2009_001595,[1],['aeroplane'],1
2009_001696,"[1, 15]","['aeroplane', 'person']",2
2009_001713,[1],['aeroplane'],1
2009_001781,[1],['aeroplane'],1
2009_001850,[1],['aeroplane'],1
2009_001851,[1],['aeroplane'],1
2009_001858,[1],['aeroplane'],1
2009_001884,[1],['aeroplane'],1
2009_001905,[1],['aeroplane'],1
2009_001927,[1],['aeroplane'],1
2009_001940,"[1, 15]","['aeroplane', 'person']",2
2009_002001,"[1, 15]","['aeroplane', 'person']",2
2009_002011,[1],['aeroplane'],1
2009_002018,[1],['aeroplane'],1
2009_002047,[1],['aeroplane'],1
2009_002099,[1],['aeroplane'],1
2009_002191,"[1, 15]","['aeroplane', 'person']",2
2009_002199,[1],['aeroplane'],1
2009_002211,[1],['aeroplane'],1
2009_002254,[1],['aeroplane'],1
2009_002258,[1],['aeroplane'],1
2009_002272,[1],['aeroplane'],1
2009_002314,[1],['aeroplane'],1
2009_002320,[1],['aeroplane'],1
2009_002388,[1],['aeroplane'],1
2009_002393,"[1, 3]","['aeroplane', 'bird']",2
2009_002432,[1],['aeroplane'],1
2009_002448,[1],['aeroplane'],1
2009_002531,[1],['aeroplane'],1
2009_002599,[1],['aeroplane'],1
2009_002614,[1],['aeroplane'],1
2009_002625,[1],['aeroplane'],1
2009_002674,[1],['aeroplane'],1
2009_002680,[1],['aeroplane'],1
2009_002714,[1],['aeroplane'],1
2009_002752,"[1, 15]","['aeroplane', 'person']",2
2009_002765,[1],['aeroplane'],1
2009_002770,[1],['aeroplane'],1
2009_002798,[1],['aeroplane'],1
2009_002808,[1],['aeroplane'],1
2009_002888,[1],['aeroplane'],1
2009_002910,[1],['aeroplane'],1
2009_002914,[1],['aeroplane'],1
2009_002941,[1],['aeroplane'],1
2009_002999,[1],['aeroplane'],1
2009_003005,[1],['aeroplane'],1
2009_003033,[1],['aeroplane'],1
2009_003044,"[1, 15]","['aeroplane', 'person']",2
2009_003066,[1],['aeroplane'],1
2009_003097,[1],['aeroplane'],1
2009_003107,[1],['aeroplane'],1
2009_003108,[1],['aeroplane'],1
2009_003147,[1],['aeroplane'],1
2009_003153,[1],['aeroplane'],1
2009_003199,[1],['aeroplane'],1
2009_003219,[1],['aeroplane'],1
2009_003278,[1],['aeroplane'],1
2009_003309,[1],['aeroplane'],1
2009_003372,[1],['aeroplane'],1
2009_003396,[1],['aeroplane'],1
2009_003456,[1],['aeroplane'],1
2009_003488,"[1, 15]","['aeroplane', 'person']",2
2009_003524,[1],['aeroplane'],1
2009_003546,[1],['aeroplane'],1
2009_003571,[1],['aeroplane'],1
2009_003608,[1],['aeroplane'],1
2009_003635,[1],['aeroplane'],1
2009_003667,[1],['aeroplane'],1
2009_003696,[1],['aeroplane'],1
2009_003704,[1],['aeroplane'],1
2009_003705,"[1, 15]","['aeroplane', 'person']",2
2009_003760,[1],['aeroplane'],1
2009_003799,[1],['aeroplane'],1
2009_003805,[1],['aeroplane'],1
2009_003806,[1],['aeroplane'],1
2009_003883,[1],['aeroplane'],1
2009_003896,"[1, 15]","['aeroplane', 'person']",2
2009_003947,[1],['aeroplane'],1
2009_003950,"[1, 15]","['aeroplane', 'person']",2
2009_003994,[1],['aeroplane'],1
2009_004075,"[1, 15]","['aeroplane', 'person']",2
2009_004108,[1],['aeroplane'],1
2009_004153,[1],['aeroplane'],1
2009_004203,[1],['aeroplane'],1
2009_004308,[1],['aeroplane'],1
2009_004317,[1],['aeroplane'],1
2009_004402,[1],['aeroplane'],1
2009_004409,[1],['aeroplane'],1
2009_004414,[1],['aeroplane'],1
2009_004446,"[1, 15]","['aeroplane', 'person']",2
2009_004475,[1],['aeroplane'],1
2009_004492,[1],['aeroplane'],1
2009_004535,[1],['aeroplane'],1
2009_004548,"[1, 15]","['aeroplane', 'person']",2
2009_004601,[1],['aeroplane'],1
2009_004620,[1],['aeroplane'],1
2009_004626,[1],['aeroplane'],1
2009_004653,[1],['aeroplane'],1
2009_004709,[1],['aeroplane'],1
2009_004812,"[1, 15]","['aeroplane', 'person']",2
2009_004820,[1],['aeroplane'],1
2009_004846,[1],['aeroplane'],1
2009_004917,[1],['aeroplane'],1
2009_004944,[1],['aeroplane'],1
2009_004969,[1],['aeroplane'],1
2009_004980,[1],['aeroplane'],1
2009_005019,[1],['aeroplane'],1
2009_005031,[1],['aeroplane'],1
2009_005036,"[1, 7]","['aeroplane', 'car']",2
2009_005075,[1],['aeroplane'],1
2009_005111,[1],['aeroplane'],1
2009_005120,[1],['aeroplane'],1
2009_005127,[1],['aeroplane'],1
2009_005142,[1],['aeroplane'],1
2009_005189,[1],['aeroplane'],1
2009_005210,[1],['aeroplane'],1
2009_005215,"[1, 7]","['aeroplane', 'car']",2
2009_005218,[1],['aeroplane'],1
2009_005232,[1],['aeroplane'],1
2010_000091,[1],['aeroplane'],1
2010_000111,[1],['aeroplane'],1
2010_000193,[1],['aeroplane'],1
2010_000196,"[1, 15]","['aeroplane', 'person']",2
2010_000229,[1],['aeroplane'],1
2010_000238,"[1, 15]","['aeroplane', 'person']",2
2010_000250,[1],['aeroplane'],1
2010_000260,[1],['aeroplane'],1
2010_000270,[1],['aeroplane'],1
2010_000285,[1],['aeroplane'],1
2010_000295,[1],['aeroplane'],1
2010_000308,"[1, 15]","['aeroplane', 'person']",2
2010_000323,[1],['aeroplane'],1
2010_000392,[1],['aeroplane'],1
2010_000418,[1],['aeroplane'],1
2010_000437,[1],['aeroplane'],1
2010_000477,[1],['aeroplane'],1
2010_000541,[1],['aeroplane'],1
2010_000549,[1],['aeroplane'],1
2010_000568,[1],['aeroplane'],1
2010_000572,[1],['aeroplane'],1
2010_000622,[1],['aeroplane'],1
2010_000715,[1],['aeroplane'],1
2010_000802,[1],['aeroplane'],1
2010_000885,[1],['aeroplane'],1
2010_000939,[1],['aeroplane'],1
2010_000981,[1],['aeroplane'],1
2010_000986,[1],['aeroplane'],1
2010_001017,[1],['aeroplane'],1
2010_001020,"[1, 15]","['aeroplane', 'person']",2
2010_001024,"[1, 15]","['aeroplane', 'person']",2
2010_001039,[1],['aeroplane'],1
2010_001085,[1],['aeroplane'],1
2010_001139,[1],['aeroplane'],1
2010_001174,[1],['aeroplane'],1
2010_001205,[1],['aeroplane'],1
2010_001214,[1],['aeroplane'],1
2010_001294,[1],['aeroplane'],1
2010_001320,[1],['aeroplane'],1
2010_001413,"[1, 7, 15]","['aeroplane', 'car', 'person']",3
2010_001426,[1],['aeroplane'],1
2010_001448,[1],['aeroplane'],1
2010_001489,[1],['aeroplane'],1
2010_001505,[1],['aeroplane'],1
2010_001583,[1],['aeroplane'],1
2010_001652,[1],['aeroplane'],1
2010_001718,[1],['aeroplane'],1
2010_001836,[1],['aeroplane'],1
2010_001931,[1],['aeroplane'],1
2010_001950,[1],['aeroplane'],1
2010_001979,[1],['aeroplane'],1
2010_002019,[1],['aeroplane'],1
2010_002065,[1],['aeroplane'],1
2010_002085,[1],['aeroplane'],1
2010_002141,[1],['aeroplane'],1
2010_002147,[1],['aeroplane'],1
2010_002200,[1],['aeroplane'],1
2010_002207,[1],['aeroplane'],1
2010_002229,[1],['aeroplane'],1
2010_002289,[1],['aeroplane'],1
2010_002295,[1],['aeroplane'],1
2010_002310,[1],['aeroplane'],1
2010_002357,[1],['aeroplane'],1
2010_002429,[1],['aeroplane'],1
2010_002460,[1],['aeroplane'],1
2010_002496,[1],['aeroplane'],1
2010_002532,[1],['aeroplane'],1
2010_002542,[1],['aeroplane'],1
2010_002577,[1],['aeroplane'],1
2010_002579,"[1, 7, 15]","['aeroplane', 'car', 'person']",3
2010_002638,[1],['aeroplane'],1
2010_002684,[1],['aeroplane'],1
2010_002695,[1],['aeroplane'],1
2010_002816,"[1, 15]","['aeroplane', 'person']",2
2010_002827,[1],['aeroplane'],1
2010_002892,[1],['aeroplane'],1
2010_002939,[1],['aeroplane'],1
2010_002947,[1],['aeroplane'],1
2010_002954,[1],['aeroplane'],1
2010_003025,[1],['aeroplane'],1
2010_003051,[1],['aeroplane'],1
2010_003053,[1],['aeroplane'],1
2010_003054,"[1, 15]","['aeroplane', 'person']",2
2010_003088,[1],['aeroplane'],1
2010_003127,[1],['aeroplane'],1
2010_003132,[1],['aeroplane'],1
2010_003259,[1],['aeroplane'],1
2010_003279,[1],['aeroplane'],1
2010_003353,[1],['aeroplane'],1
2010_003361,"[1, 15]","['aeroplane', 'person']",2
2010_003365,[1],['aeroplane'],1
2010_003458,[1],['aeroplane'],1
2010_003474,[1],['aeroplane'],1
2010_003495,[1],['aeroplane'],1
2010_003496,[1],['aeroplane'],1
2010_003559,[1],['aeroplane'],1
2010_003592,[1],['aeroplane'],1
2010_003655,[1],['aeroplane'],1
2010_003680,[1],['aeroplane'],1
2010_003686,[1],['aeroplane'],1
2010_003716,[1],['aeroplane'],1
2010_003723,[1],['aeroplane'],1
2010_003737,[1],['aeroplane'],1
2010_003798,[1],['aeroplane'],1
2010_003801,[1],['aeroplane'],1
2010_003816,[1],['aeroplane'],1
2010_003915,[1],['aeroplane'],1
2010_003933,[1],['aeroplane'],1
2010_003945,[1],['aeroplane'],1
2010_003983,"[1, 15]","['aeroplane', 'person']",2
2010_004010,[1],['aeroplane'],1
2010_004063,[1],['aeroplane'],1
2010_004084,[1],['aeroplane'],1
2010_004118,[1],['aeroplane'],1
2010_004184,[1],['aeroplane'],1
2010_004238,[1],['aeroplane'],1
2010_004242,[1],['aeroplane'],1
2010_004312,[1],['aeroplane'],1
2010_004314,"[1, 15]","['aeroplane', 'person']",2
2010_004357,[1],['aeroplane'],1
2010_004404,[1],['aeroplane'],1
2010_004419,[1],['aeroplane'],1
2010_004423,[1],['aeroplane'],1
2010_004455,[1],['aeroplane'],1
2010_004546,[1],['aeroplane'],1
2010_004557,"[1, 7]","['aeroplane', 'car']",2
2010_004601,"[1, 7, 15]","['aeroplane', 'car', 'person']",3
2010_004608,[1],['aeroplane'],1
2010_004721,[1],['aeroplane'],1
2010_004729,[1],['aeroplane'],1
2010_004748,[1],['aeroplane'],1
2010_004791,[1],['aeroplane'],1
2010_004817,[1],['aeroplane'],1
2010_004855,[1],['aeroplane'],1
2010_004888,[1],['aeroplane'],1
2010_004917,[1],['aeroplane'],1
2010_004938,[1],['aeroplane'],1
2010_004966,"[1, 7]","['aeroplane', 'car']",2
2010_004991,[1],['aeroplane'],1
2010_004998,[1],['aeroplane'],1
2010_005022,[1],['aeroplane'],1
2010_005059,[1],['aeroplane'],1
2010_005101,[1],['aeroplane'],1
2010_005106,"[1, 15]","['aeroplane', 'person']",2
2010_005167,"[1, 7]","['aeroplane', 'car']",2
2010_005184,[1],['aeroplane'],1
2010_005213,[1],['aeroplane'],1
2010_005224,[1],['aeroplane'],1
2010_005268,[1],['aeroplane'],1
2010_005301,[1],['aeroplane'],1
2010_005365,[1],['aeroplane'],1
2010_005382,[1],['aeroplane'],1
2010_005534,[1],['aeroplane'],1
2010_005557,[1],['aeroplane'],1
2010_005632,[1],['aeroplane'],1
2010_005683,[1],['aeroplane'],1
2010_005715,[1],['aeroplane'],1
2010_005718,"[1, 7]","['aeroplane', 'car']",2
2010_005761,[1],['aeroplane'],1
2010_005776,[1],['aeroplane'],1
2010_005877,[1],['aeroplane'],1
2010_005888,[1],['aeroplane'],1
2010_005942,"[1, 15]","['aeroplane', 'person']",2
2010_005953,[1],['aeroplane'],1
2010_005974,[1],['aeroplane'],1
2010_005978,[1],['aeroplane'],1
2010_005998,[1],['aeroplane'],1
2010_006023,[1],['aeroplane'],1
2010_006032,[1],['aeroplane'],1
2010_006034,[1],['aeroplane'],1
2010_006067,[1],['aeroplane'],1
2010_006082,[1],['aeroplane'],1
2011_000103,[1],['aeroplane'],1
2011_000116,[1],['aeroplane'],1
2011_000129,[1],['aeroplane'],1
2011_000163,[1],['aeroplane'],1
2011_000243,[1],['aeroplane'],1
2011_000276,[1],['aeroplane'],1
2011_000329,[1],['aeroplane'],1
2011_000359,[1],['aeroplane'],1
2011_000481,[1],['aeroplane'],1
2011_000531,[1],['aeroplane'],1
2011_000586,"[1, 15]","['aeroplane', 'person']",2
2011_000592,[1],['aeroplane'],1
2011_000629,[1],['aeroplane'],1
2011_000656,[1],['aeroplane'],1
2011_000698,[1],['aeroplane'],1
2011_000790,[1],['aeroplane'],1
2011_000793,[1],['aeroplane'],1
2011_000807,[1],['aeroplane'],1
2011_000845,[1],['aeroplane'],1
2011_000872,[1],['aeroplane'],1
2011_000874,"[1, 15]","['aeroplane', 'person']",2
2011_000882,"[1, 15]","['aeroplane', 'person']",2
2011_000922,[1],['aeroplane'],1
2011_000975,[1],['aeroplane'],1
2011_001044,[1],['aeroplane'],1
2011_001073,[1],['aeroplane'],1
2011_001081,[1],['aeroplane'],1
2011_001114,[1],['aeroplane'],1
2011_001133,[1],['aeroplane'],1
2011_001158,"[1, 15]","['aeroplane', 'person']",2
2011_001188,[1],['aeroplane'],1
2011_001257,[1],['aeroplane'],1
2011_001263,[1],['aeroplane'],1
2011_001315,[1],['aeroplane'],1
2011_001320,[1],['aeroplane'],1
2011_001407,[1],['aeroplane'],1
2011_001434,[1],['aeroplane'],1
2011_001455,"[1, 7]","['aeroplane', 'car']",2
2011_001476,[1],['aeroplane'],1
2011_001480,[1],['aeroplane'],1
2011_001489,[1],['aeroplane'],1
2011_001514,[1],['aeroplane'],1
2011_001541,[1],['aeroplane'],1
2011_001624,[1],['aeroplane'],1
2011_001647,[1],['aeroplane'],1
2011_001699,[1],['aeroplane'],1
2011_001753,[1],['aeroplane'],1
2011_001789,[1],['aeroplane'],1
2011_001800,"[1, 15]","['aeroplane', 'person']",2
2011_001824,"[1, 7]","['aeroplane', 'car']",2
2011_001858,[1],['aeroplane'],1
2011_001871,[1],['aeroplane'],1
2011_001872,[1],['aeroplane'],1
2011_001875,[1],['aeroplane'],1
2011_001880,[1],['aeroplane'],1
2011_001962,[1],['aeroplane'],1
2011_002012,[1],['aeroplane'],1
2011_002091,[1],['aeroplane'],1
2011_002114,[1],['aeroplane'],1
2011_002132,[1],['aeroplane'],1
2011_002193,"[1, 15]","['aeroplane', 'person']",2
2011_002222,[1],['aeroplane'],1
2011_002248,"[1, 15]","['aeroplane', 'person']",2
2011_002269,[1],['aeroplane'],1
2011_002284,[1],['aeroplane'],1
2011_002327,[1],['aeroplane'],1
2011_002346,[1],['aeroplane'],1
2011_002380,[1],['aeroplane'],1
2011_002470,[1],['aeroplane'],1
2011_002494,[1],['aeroplane'],1
2011_002504,[1],['aeroplane'],1
2011_002515,"[1, 15]","['aeroplane', 'person']",2
2011_002552,[1],['aeroplane'],1
2011_002605,[1],['aeroplane'],1
2011_002617,[1],['aeroplane'],1
2011_002638,[1],['aeroplane'],1
2011_002673,[1],['aeroplane'],1
2011_002675,"[1, 15]","['aeroplane', 'person']",2
2011_002751,[1],['aeroplane'],1
2011_002851,[1],['aeroplane'],1
2011_002929,[1],['aeroplane'],1
2011_002930,[1],['aeroplane'],1
2011_002992,[1],['aeroplane'],1
2011_002993,[1],['aeroplane'],1
2011_003012,[1],['aeroplane'],1
2011_003034,[1],['aeroplane'],1
2011_003111,[1],['aeroplane'],1
2011_003154,[1],['aeroplane'],1
2011_003176,"[1, 7]","['aeroplane', 'car']",2
2011_003177,[1],['aeroplane'],1
2011_003275,[1],['aeroplane'],1
2008_000036,"[2, 4, 15]","['bicycle', 'boat', 'person']",3
2008_000090,"[2, 15]","['bicycle', 'person']",2
2008_000133,"[2, 7]","['bicycle', 'car']",2
2008_000191,"[2, 15]","['bicycle', 'person']",2
2008_000194,"[2, 15]","['bicycle', 'person']",2
2008_000196,"[2, 8, 16]","['bicycle', 'cat', 'pottedplant']",3
2008_000466,[2],['bicycle'],1
2008_000531,"[2, 7, 15]","['bicycle', 'car', 'person']",3
2008_000562,"[2, 7, 15]","['bicycle', 'car', 'person']",3
2008_000615,"[2, 15]","['bicycle', 'person']",2
